,Nightlord,Shifting Earth,Spawn Point,Special Event,Night 1 Boss,Night 2 Boss,Extra Night Boss,Night 1 Circle,Night 2 Circle,Castle,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Major Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Minor Base,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Evergaol,Arena Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Field Boss,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rotted Woods,Rot Blessing,Frenzy Tower,Scale-Bearing Merchant
,,,,,,,,,,Castle,South Lake,Groveside,Gatefront,Stormhill North of Gate,Alexander Spot,Northwest Stormhill,Northeast Stormhill,South Mistwood,Waypoint Ruins,Minor Erdtree,West Mistwood,Northwest Mistwood,Artist's Shack,Northeast Mistwood,Summonwater Approach,Summonwater,Far Southwest,Lake,Stormhill South of Gate,Above Stormhill Tunnel Entrance,West of Warmaster's Shack,Southeast of Lake,East of Cavalry Bridge,Minor Erdtree,Below Summonwater Hawk,Third Church,Northeast of Saintsbridge,Northwest of Lake,Murkwater Terminus,Stormhill,Highroad,East of Lake,Mistwood,Northeast Tunnel Entrance,Castle Basement,Castle Rooftop,Far Southwest of Lake,Lake,North of Stormhill Tunnel Entrance,North of Murkwater Terminus,Stormhill Spectral Hawk,Northwest Stormhill Cliffside,Mistwood Spectral Hawk,North Mistwood,East of Murkwater Terminus,Northwest of Summonwater,Southwest,Southeast,Center West,Center East,Far Northwest,Northwest,Northeast,Far Northeast,,,
0,Gladius,Default,East of Cavalry Bridge,Day 2 Night Horde,Demi-Human Queen and Swordmaster,Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,Northeast Corner,Trolls,Ruins - Depraved Perfumer,Ruins - Depraved Perfumer,Ruins - Albinauric Archers,Camp - Frenzied Flame Troll,Ruins - Albinauric Archers,Fort - Guardian Golem,Great Church - Mausoleum Knight,Ruins - Albinauric Archers,Great Church - Fire Monk,Ruins - Depraved Perfumer,Ruins - Depraved Perfumer,Ruins - Beastmen of Farum Azula,Fort - Crystalians,Camp - Redmane Knights,Camp - Royal Army Knights,Great Church - Mausoleum Knight,Church - Normal,Sorcerer's Rise - Unlit Candle,Small Camp - Dogs and Soldiers,Small Camp - Caravans,Church - Normal,Small Camp - Dogs and Soldiers,Small Camp - Demi-Humans,Small Camp - Caravans,Small Camp - Dogs,Church - Normal,Sorcerer's Rise - Fog Door,Nox Warriors,Bloodhound Knight,Beastmen of Farum Azula,Grave Warden Duelist,Banished Knights,Godskin Apostle,Crucible Knight with Sword,Grafted Scion,Ancestor Spirit,Leonine Misbegotten,Bell Bearing Hunter,Red Wolf,Elder Lion,Royal Carian Knight,Night's Cavalry,Golden Hippopotamus,Ulcerated Tree Spirit,Royal Revenant,Death Rite Bird,,,,,,,,,,,
1,Gladius,Default,Above Stormhill Tunnel Entrance,,Demi-Human Queen and Swordmaster,Tree Sentinel and Royal Cavalrymen,,West Stormhill Graveyard,Northeast Corner,Crucible Knights,Ruins - Perfumer,Camp - Leonine Misbegotten,Great Church - Fire Monk,Great Church - Mausoleum Knight,Fort - Lordsworn Captain,Camp - Leonine Misbegotten,Ruins - Perfumer,Fort - Crystalians,Camp - Flame Chariots,Camp - Banished Knights,Fort - Crystalians,Camp - Banished Knights,Ruins - Wormface,Ruins - Ancient Heroes of Zamor,Ruins - Wormface,Camp - Flame Chariots,Small Camp - Dogs,Church - Normal,Small Camp - Guilty,Small Camp - Caravans and Nobles,Sorcerer's Rise - Fog Door,Small Camp - Dogs,Sorcerer's Rise - Missing Statue,Small Camp - Caravans,Church - Normal,Small Camp - Guilty,Church - Normal,Dragonkin Soldier,Nox Warriors,Crucible Knight with Spear,Beastly Brigade,Banished Knights,Crystalians,Grave Warden Duelist,Bell Bearing Hunter,Royal Carian Knight,Death Rite Bird,Elder Lion,Black Blade Kindred,Ancient Hero of Zamor,Grafted Scion,Miranda Blossom,Royal Revenant,Magma Wyrm,Leonine Misbegotten,Ulcerated Tree Spirit,,,,,,,,,,,South of Castle
2,Gladius,Default,Stormhill South of Gate,,Bell Bearing Hunter,Morgott,,Northwest Corner,South Lake,Banished Knights,Camp - Redmane Knights,Great Church - Mausoleum Knight,Great Church - Oracle Envoys,Camp - Elder Lion,Fort - Crystalians,Ruins - Albinauric Archers,Ruins - Albinauric Archers,Fort - Crystalians,Ruins - Battlemages,Ruins - Battlemages,Fort - Crystalians,Camp - Leonine Misbegotten,Ruins - Wormface,Ruins - Wormface,Great Church - Oracle Envoys,Fort - Abductor Virgin,Small Camp - Guilty,Sorcerer's Rise - Fake Building,Small Camp - Wandering Nobles,Small Camp - Caravans,Small Camp - Misbegotten,Church - Normal,Small Camp - Misbegotten,Small Camp - Guilty,Church - Normal,Small Camp - Guilty,Church - Normal,Nox Warriors,Omen,Crucible Knight with Spear,Bloodhound Knight,Banished Knights,Godskin Noble,Beastmen of Farum Azula,Royal Revenant,Ancestor Spirit,Golden Hippopotamus,Magma Wyrm,Leonine Misbegotten,Demi-Human Queen,Red Wolf,Flying Dragon,Grafted Scion,Ulcerated Tree Spirit,Draconic Tree Sentinel,Miranda Blossom,,,,,,,,,,,
3,Gladius,Default,Below Summonwater Hawk,,Bell Bearing Hunter,Morgott,,Southwest Corner,Northwest Mistwood Pond,Banished Knights,Fort - Crystalians,Camp - Redmane Knights,Ruins - Depraved Perfumer,Ruins - Erdtree Burial Watchdogs,Camp - Elder Lion,Ruins - Erdtree Burial Watchdogs,Ruins - Depraved Perfumer,Ruins - Depraved Perfumer,Ruins - Erdtree Burial Watchdogs,Great Church - Oracle Envoys,Ruins - Depraved Perfumer,Great Church - Fire Monk,Fort - Abductor Virgin,Camp - Frenzied Flame Troll,Ruins - Perfumer,Ruins - Depraved Perfumer,Sorcerer's Rise - Unlit Candle,Church - Normal,Small Camp - Dogs and Soldiers,Church - Normal,Sorcerer's Rise - Windy Trees,Small Camp - Caravans,Township - Township,Small Camp - Dogs and Soldiers,Small Camp - Foot Soldiers,Church - Normal,Small Camp - Guilty,Crystalians,Banished Knights,Beastly Brigade,Nox Warriors,Dragonkin Soldier,Grave Warden Duelist,Godskin Apostle,Red Wolf,Death Rite Bird,Ulcerated Tree Spirit,Miranda Blossom,Elder Lion,Grafted Scion,Ancient Hero of Zamor,Draconic Tree Sentinel,Leonine Misbegotten,Royal Carian Knight,Black Knife Assassin,Tree Sentinel,,,,,,,,,,,
4,Gladius,Default,Southeast of Lake,Day 2 Night Horde,Demi-Human Queen and Swordmaster,Tree Sentinel and Royal Cavalrymen,,East of Saintsbridge,South Lake,Banished Knights,Ruins - Wormface,Fort - Abductor Virgin,Ruins - Sanguine Noble,Ruins - Sanguine Noble,Ruins - Erdtree Burial Watchdogs,Camp - Elder Lion,Fort - Crystalians,Camp - Banished Knights,Great Church - Guardian Golem,Ruins - Wormface,Ruins - Wormface,Great Church - Oracle Envoys,Camp - Flame Chariots,Camp - Elder Lion,Fort - Crystalians,Ruins - Sanguine Noble,Sorcerer's Rise - Fog Door,Sorcerer's Rise - Unlit Candle,Church - Normal,Church - Normal,Small Camp - Caravans,Small Camp - Wandering Nobles,Small Camp - Soldiers,Small Camp - Caravans,Township - Township,Small Camp - Guilty,Church - Normal,Crystalians,Omen,Nox Warriors,Godskin Apostle,Banished Knights,Grave Warden Duelist,Crucible Knight with Sword,Ancient Hero of Zamor,Magma Wyrm,Erdtree Avatar,Leonine Misbegotten,Grafted Scion,Draconic Tree Sentinel,Golden Hippopotamus,Flying Dragon,Ancestor Spirit,Miranda Blossom,Elder Lion,Royal Revenant,,,,,,,,,,,
5,Gladius,Default,East of Cavalry Bridge,Day 1 Night Horde,Demi-Human Queen and Swordmaster,Morgott,,Northeast Corner,Northwest of Castle,Crucible Knights,Ruins - Perfumer,Ruins - Perfumer,Fort - Crystalians,Camp - Flame Chariots,Camp - Elder Lion,Ruins - Wormface,Great Church - Guardian Golem,Camp - Banished Knights,Great Church - Guardian Golem,Ruins - Wormface,Great Church - Oracle Envoys,Fort - Abductor Virgin,Ruins - Wormface,Camp - Elder Lion,Camp - Banished Knights,Ruins - Erdtree Burial Watchdogs,Sorcerer's Rise - Missing Statue,Sorcerer's Rise - Withered Trees,Church - Normal,Small Camp - Caravans,Small Camp - Soldiers,Church - Normal,Small Camp - Caravans and Nobles,Church - Normal,Sorcerer's Rise - Windy Trees,Small Camp - Dogs and Soldiers,Small Camp - Soldiers,Crucible Knight with Sword,Grave Warden Duelist,Godskin Apostle,Bloodhound Knight,Banished Knights,Beastly Brigade,Nox Warriors,Grafted Scion,Royal Carian Knight,Ancient Hero of Zamor,Flying Dragon,Red Wolf,Black Blade Kindred,Golden Hippopotamus,Magma Wyrm,Death Rite Bird,Elder Lion,Night's Cavalry,Royal Revenant,,,,,,,,,,,
6,Gladius,Default,Above Stormhill Tunnel Entrance,,Demi-Human Queen and Swordmaster,Morgott,,Northeast of Lake,Northwest Corner,Trolls,Ruins - Ancient Heroes of Zamor,Great Church - Guardian Golem,Fort - Abductor Virgin,Great Church - Fire Monk,Ruins - Albinaurics,Camp - Frenzied Flame Troll,Ruins - Perfumer,Fort - Crystalians,Ruins - Ancient Heroes of Zamor,Great Church - Fire Monk,Camp - Elder Lion,Ruins - Perfumer,Ruins - Ancient Heroes of Zamor,Fort - Abductor Virgin,Camp - Frenzied Flame Troll,Camp - Royal Army Knights,Church - Normal,Small Camp - Dogs,Small Camp - Dogs,Small Camp - Caravans and Nobles,Small Camp - Caravans,Small Camp - Dogs and Soldiers,Church - Normal,Small Camp - Dogs and Soldiers,Sorcerer's Rise - Pool Reflection,Church - Normal,Small Camp - Dogs,Beastly Brigade,Crucible Knight with Spear,Crucible Knight with Sword,Nox Warriors,Grave Warden Duelist,Ancient Dragon,Crystalians,Black Knife Assassin,Tree Sentinel,Royal Revenant,Elder Lion,Death Rite Bird,Golden Hippopotamus,Ancestor Spirit,Ancient Hero of Zamor,Flying Dragon,Night's Cavalry,Leonine Misbegotten,Black Blade Kindred,,,,,,,,,,,
7,Gladius,Default,Minor Erdtree,,Bell Bearing Hunter,Morgott,,Northwest Mistwood Pond,Northwest Lake,Crucible Knights,Camp - Flame Chariots,Camp - Elder Lion,Ruins - Beastmen of Farum Azula,Ruins - Perfumer,Camp - Flame Chariots,Ruins - Albinaurics,Fort - Lordsworn Captain,Ruins - Albinaurics,Ruins - Beastmen of Farum Azula,Great Church - Guardian Golem,Ruins - Perfumer,Fort - Guardian Golem,Camp - Flame Chariots,Great Church - Guardian Golem,Camp - Banished Knights,Great Church - Oracle Envoys,Church - Normal,Township - Township,Sorcerer's Rise - Imp Statue,Small Camp - Caravans,Sorcerer's Rise - Fake Building,Small Camp - Guilty,Church - Normal,Small Camp - Rats and Demi-Humans,Small Camp - Dogs and Soldiers,Church - Normal,Small Camp - Caravans,Bloodhound Knight,Godskin Apostle,Crucible Knight with Spear,Banished Knights,Nox Warriors,Omen,Beastly Brigade,Royal Revenant,Royal Carian Knight,Elder Lion,Demi-Human Queen,Golden Hippopotamus,Ancestor Spirit,Leonine Misbegotten,Magma Wyrm,Miranda Blossom,Flying Dragon,Death Rite Bird,Black Knife Assassin,,,,,,,,,,,
8,Gladius,Default,Far Southwest,Day 2 Night Horde,Bell Bearing Hunter,Morgott,,Southwest Mistwood,Northwest of Castle,Crucible Knights,Ruins - Wormface,Fort - Abductor Virgin,Great Church - Guardian Golem,Camp - Elder Lion,Fort - Lordsworn Captain,Great Church - Mausoleum Knight,Ruins - Wormface,Ruins - Wormface,Camp - Flame Chariots,Ruins - Sanguine Noble,Great Church - Guardian Golem,Ruins - Wormface,Ruins - Albinauric Archers,Fort - Lordsworn Captain,Camp - Redmane Knights,Camp - Redmane Knights,Church - Rats,Small Camp - Caravans,Church - Normal,Township - Township,Sorcerer's Rise - Fleeing Stump,Church - Normal,Small Camp - Misbegotten,Sorcerer's Rise - Missing Statue,Church - Normal,Small Camp - Caravans,Small Camp - Guilty,Omen,Nox Warriors,Banished Knights,Crystalians,Crucible Knight with Spear,Grave Warden Duelist,Godskin Apostle,Royal Revenant,Black Blade Kindred,Demi-Human Queen,Flying Dragon,Red Wolf,Ancient Hero of Zamor,Erdtree Avatar,Elder Lion,Miranda Blossom,Tree Sentinel,Draconic Tree Sentinel,Leonine Misbegotten,,,,,,,,,,,
9,Gladius,Default,East of Cavalry Bridge,,Bell Bearing Hunter,Morgott,,Northeast Corner,West Stormhill Graveyard,Crucible Knights,Great Church - Guardian Golem,Fort - Crystalians,Ruins - Albinaurics,Great Church - Oracle Envoys,Camp - Elder Lion,Camp - Royal Army Knights,Camp - Elder Lion,Ruins - Albinauric Archers,Fort - Crystalians,Ruins - Depraved Perfumer,Ruins - Albinauric Archers,Fort - Abductor Virgin,Ruins - Albinaurics,Camp - Royal Army Knights,Camp - Banished Knights,Great Church - Guardian Golem,Church - Normal,Church - Normal,Small Camp - Soldiers,Church - Normal,Small Camp - Caravans,Small Camp - Soldiers,Church - Rats,Small Camp - Guilty,Small Camp - Soldiers,Small Camp - Soldiers,Sorcerer's Rise - Pool Reflection,Crystalians,Crucible Knight with Spear,Godskin Apostle,Beastmen of Farum Azula,Grave Warden Duelist,Nox Warriors,Banished Knights,Royal Revenant,Royal Carian Knight,Miranda Blossom,Flying Dragon,Demi-Human Queen,Erdtree Avatar,Night's Cavalry,Black Blade Kindred,Golden Hippopotamus,Ulcerated Tree Spirit,Red Wolf,Leonine Misbegotten,,,,,,,,,,,
10,Gladius,Default,Far Southwest,Day 2 Night Horde,Bell Bearing Hunter,Morgott,,Northwest Corner,Northeast of Lake,Banished Knights,Ruins - Sanguine Noble,Great Church - Mausoleum Knight,Camp - Flame Chariots,Camp - Royal Army Knights,Ruins - Wormface,Fort - Abductor Virgin,Fort - Crystalians,Camp - Banished Knights,Great Church - Mausoleum Knight,Fort - Abductor Virgin,Ruins - Wormface,Ruins - Albinauric Archers,Great Church - Fire Monk,Camp - Banished Knights,Ruins - Wormface,Fort - Abductor Virgin,Church - Rats,Small Camp - Soldiers,Township - Township,Small Camp - Dogs and Soldiers,Church - Normal,Church - Normal,Small Camp - Soldiers,Sorcerer's Rise - Imp Statue,Small Camp - Caravans,Church - Normal,Small Camp - Dogs and Soldiers,Beastly Brigade,Godskin Apostle,Beastmen of Farum Azula,Stoneskin Lords,Dragonkin Soldier,Banished Knights,Bloodhound Knight,Royal Revenant,Draconic Tree Sentinel,Black Blade Kindred,Demi-Human Queen,Golden Hippopotamus,Leonine Misbegotten,Elder Lion,Tree Sentinel,Miranda Blossom,Death Rite Bird,Black Knife Assassin,Royal Carian Knight,,,,,,,,,,,
